@relation pacman-weka.filters.unsupervised.attribute.Remove-R49-weka.filters.unsupervised.attribute.Remove-R7-44

@attribute pacmanx numeric
@attribute pacmany numeric
@attribute legalW numeric
@attribute legalE numeric
@attribute legalN numeric
@attribute legalS numeric
@attribute pac_dots numeric
@attribute distance_dots numeric
@attribute score numeric
@attribute move {Stop,East,West,North,South}
@attribute class {Stop,East,West,North,South}

@data
14,11,1,1,1,1,1,6,-7,East,South
14,10,1,1,1,1,1,5,-8,South,South
14,9,1,1,1,1,1,4,-9,South,East
15,9,1,1,1,1,1,3,-10,East,East
16,9,1,1,1,1,1,2,-11,East,North
16,10,1,1,1,1,1,3,-12,North,North
16,11,1,1,1,1,1,4,-13,North,South
16,10,1,1,1,1,1,3,-14,South,South
16,9,1,1,1,1,1,2,-15,South,South
16,8,1,1,1,1,1,3,184,South,West
15,8,1,1,1,1,1,4,183,West,North
15,9,1,1,1,1,1,3,182,North,North
15,10,1,1,1,1,1,4,181,North,West
14,10,1,1,1,1,1,5,180,West,West
13,10,1,1,1,1,1,6,379,West,West
12,10,1,1,1,1,1,7,378,West,West
11,10,1,1,1,1,1,8,377,West,West
10,10,1,1,1,1,1,9,376,West,South
10,9,1,1,1,1,1,8,375,South,West
9,9,1,1,1,1,1,9,374,West,West
8,9,1,1,1,1,1,10,373,West,South
8,8,1,1,1,1,1,11,372,South,East
9,8,1,1,1,1,1,10,371,East,East
10,8,1,1,1,1,1,9,370,East,South
10,7,1,1,1,1,1,10,369,South,South
10,6,1,1,1,1,1,11,368,South,West
9,6,1,1,1,1,1,12,367,West,West
8,6,1,1,1,1,1,13,366,West,North
8,7,1,1,1,1,1,12,365,North,North
8,8,1,1,1,1,1,11,364,North,East
9,8,1,1,1,1,1,10,363,East,East
10,8,1,1,1,1,1,9,362,East,South
10,7,1,1,1,1,1,10,561,South,East
11,7,1,1,1,1,1,9,560,East,West
10,7,1,1,1,1,1,10,559,West,West
9,7,1,1,1,1,1,11,558,West,North
9,8,1,1,1,1,1,10,557,North,West
8,8,1,1,1,1,1,11,556,West,South
8,7,1,1,1,1,1,12,555,South,West
7,7,1,1,1,1,1,13,554,West,North
1,18,0,1,0,1,0,-1,-3,Stop,South
1,17,0,0,1,1,0,-1,-4,South,South
1,16,0,1,1,1,0,-1,-5,South,South
1,15,0,1,1,1,0,-1,-6,South,South
1,14,0,1,1,1,0,-1,-7,South,South
1,13,0,0,1,1,0,-1,-8,South,South
1,12,0,1,1,1,0,-1,-9,South,South
1,11,0,0,1,1,0,-1,-10,South,South
1,10,0,0,1,1,0,-1,-11,South,South
1,9,0,0,1,1,0,-1,-12,South,South
1,8,0,0,1,1,0,-1,-13,South,South
1,7,0,0,1,1,0,-1,-14,South,South
1,6,0,1,1,1,0,-1,-15,South,East
2,6,1,1,0,1,0,-1,-16,East,East
3,6,1,1,1,1,0,-1,-17,East,North
3,7,0,1,1,1,0,-1,-18,North,North
3,8,0,1,1,1,0,-1,-19,North,North
3,9,0,1,1,1,0,-1,-20,North,East
4,9,1,1,1,1,0,-1,-21,East,South
4,8,1,1,1,1,0,-1,-22,South,South
4,7,1,1,1,1,0,-1,-23,South,East
5,7,1,1,1,1,0,-1,-24,East,East
6,7,1,0,1,1,0,-1,175,East,South
6,6,1,1,1,0,0,-1,174,South,East
7,6,1,1,0,0,0,-1,173,East,East
8,6,1,1,1,1,0,-1,172,East,East
9,6,1,1,1,1,0,-1,171,East,East
10,6,1,1,1,1,0,-1,170,East,East
