@relation pacman-weka.filters.unsupervised.attribute.Remove-R21-40-weka.filters.unsupervised.attribute.Remove-R29

@attribute pacmanx numeric
@attribute pacmany numeric
@attribute legalW numeric
@attribute legalE numeric
@attribute legalN numeric
@attribute legalS numeric
@attribute numghost numeric
@attribute alivePacman numeric
@attribute alive_Ghost1 numeric
@attribute alive_Ghost2 numeric
@attribute alive_Ghost3 numeric
@attribute alive_Ghost4 numeric
@attribute ghost1x numeric
@attribute ghost1y numeric
@attribute ghost2x numeric
@attribute ghost2y numeric
@attribute ghost3x numeric
@attribute ghost3y numeric
@attribute ghost4x numeric
@attribute ghost4y numeric
@attribute ghost1dist numeric
@attribute ghost2dist numeric
@attribute ghost3dist numeric
@attribute ghost4dist numeric
@attribute pac_dots numeric
@attribute distance_dots numeric
@attribute score numeric
@attribute move {Stop,East,West,North,South}
@attribute class {Stop,East,West,North,South}

@data
16,9,1,1,1,1,4,0,1,1,1,1,1,6,5,12,15,9,12,12,18,14,1,7,0,-1,-12,South,West
15,9,1,1,1,1,4,0,1,1,0,1,1,6,5,12,15,9,13,12,17,13,-1,5,0,-1,187,West,North
15,14,1,1,0,1,4,0,1,1,0,1,2,8,8,12,5,1,12,12,19,9,-1,5,0,-1,182,North,West
8,14,1,1,0,1,4,0,1,0,0,0,1,8,3,1,5,1,7,1,13,-1,-1,-1,0,-1,575,West,South
8,12,1,1,1,0,4,0,1,0,0,0,2,9,3,1,5,1,7,1,9,-1,-1,-1,0,-1,573,South,West
6,12,1,1,0,0,4,0,1,0,0,0,3,9,3,1,5,1,7,1,6,-1,-1,-1,0,-1,571,West,East
8,12,1,1,1,0,4,0,1,0,0,0,5,9,3,1,5,1,7,1,6,-1,-1,-1,0,-1,569,East,North
8,14,1,1,0,1,4,0,1,0,0,0,4,10,3,1,5,1,7,1,8,-1,-1,-1,0,-1,567,North,West
3,14,1,1,0,1,4,0,1,0,0,0,4,8,3,1,5,1,7,1,7,-1,-1,-1,0,-1,562,West,South
3,8,1,1,1,1,4,0,1,0,0,0,5,8,3,1,5,1,7,1,2,-1,-1,-1,0,-1,556,South,East
7,8,1,1,0,0,4,0,1,0,0,0,4,9,3,1,5,1,7,1,4,-1,-1,-1,0,-1,552,East,West
5,8,1,1,1,0,4,0,1,0,0,0,4,10,3,1,5,1,7,1,3,-1,-1,-1,0,-1,550,West,North
5,10,1,1,0,1,4,0,1,0,0,0,3,11,3,1,5,1,7,1,3,-1,-1,-1,0,-1,548,North,West
8,1,1,1,1,0,4,0,1,1,1,1,7,5,10,5,11,5,16,7,5,6,7,14,67,1,96,West,North
8,3,0,1,0,1,4,0,1,1,1,1,7,5,10,7,10,5,15,7,3,6,4,11,67,2,94,North,East
9,3,1,1,1,0,4,0,1,1,1,1,6,5,10,7,10,6,15,6,5,5,4,9,67,3,93,East,North
9,5,1,1,1,1,4,0,1,1,1,1,7,5,10,5,11,5,15,7,2,1,2,8,67,1,91,North,West
6,5,1,1,1,1,4,0,1,1,1,1,5,5,11,5,10,6,15,6,1,5,5,10,66,1,188,West,East
9,5,1,1,1,1,4,0,0,1,1,1,1,1,10,6,10,6,14,5,-1,2,2,5,66,1,385,East,North
9,7,1,1,0,1,4,0,0,1,0,1,1,2,11,5,5,1,15,5,13,4,-1,8,64,1,783,North,East
13,7,1,0,0,1,4,0,0,1,0,1,1,1,10,5,6,1,15,5,-1,5,-1,4,60,1,1179,East,South
13,5,0,1,1,1,4,0,0,1,0,1,1,1,10,5,6,1,17,5,-1,3,-1,4,58,1,1377,South,East
18,5,1,0,1,1,4,0,0,1,0,1,1,2,9,4,3,1,18,6,20,10,-1,1,53,1,1872,East,North
18,7,1,0,0,1,4,0,0,1,0,0,1,1,9,4,3,2,7,1,-1,12,20,-1,52,2,2169,North,West
15,7,0,1,0,1,4,0,0,1,0,0,1,3,10,3,3,2,7,1,18,9,17,-1,50,1,2366,West,South
15,5,1,1,1,0,4,0,0,1,0,0,1,4,9,3,3,1,6,2,15,8,-1,12,49,2,2464,South,West
13,5,0,1,1,1,4,0,0,1,0,0,1,3,9,3,3,1,6,2,14,6,-1,10,49,1,2462,West,South
13,1,1,0,1,0,4,0,0,1,0,0,1,4,10,5,4,1,6,3,15,7,-1,9,45,1,2858,South,West
11,1,1,1,1,0,4,0,0,1,0,0,1,3,9,4,4,1,5,3,12,5,-1,8,43,1,3056,West,North
11,3,1,0,0,1,4,0,0,1,0,0,1,5,9,3,5,1,4,3,12,2,-1,7,43,3,3054,North,West
13,10,1,1,1,1,4,0,1,1,1,1,3,6,5,12,14,7,14,12,14,10,4,3,1,6,-3,East,North
13,12,1,1,1,1,4,0,1,1,1,1,3,6,6,11,12,7,15,12,16,8,6,2,1,8,-5,North,East
15,12,1,1,1,1,4,0,1,1,1,1,2,5,8,11,14,7,15,13,20,8,6,1,1,6,-7,East,South
15,11,1,1,1,1,4,0,1,1,1,1,1,5,7,11,14,6,14,13,20,8,6,3,1,5,-8,South,West
14,11,1,1,1,1,4,0,1,1,1,1,1,5,7,10,13,6,13,13,19,8,6,3,1,6,-9,West,North
14,14,1,1,0,1,4,0,1,1,1,0,1,5,6,9,14,5,7,1,22,13,9,-1,1,9,188,North,West
12,14,1,1,0,1,4,0,1,1,1,0,2,4,5,8,14,4,7,1,20,13,12,-1,1,11,186,West,South
12,7,1,1,1,1,4,0,1,1,1,0,4,5,4,7,16,5,7,1,10,8,6,-1,1,8,179,South,East
16,7,1,1,1,1,4,0,1,1,1,0,5,4,4,7,16,5,7,1,14,12,2,-1,1,4,175,East,South
16,5,1,1,1,1,4,0,1,1,0,0,4,4,4,7,5,1,7,1,13,14,-1,-1,1,6,373,South,West
5,5,1,1,1,1,4,0,0,1,0,0,1,1,4,8,5,1,7,1,-1,4,-1,-1,1,17,562,West,North
5,9,1,1,0,1,4,0,0,1,0,0,1,1,4,8,5,1,7,1,-1,2,-1,-1,1,13,558,North,West
3,9,1,1,0,1,4,0,0,1,0,0,1,1,4,8,5,1,7,1,-1,2,-1,-1,1,15,556,West,South
3,8,1,1,1,1,4,0,0,1,0,0,1,1,4,8,5,1,7,1,-1,1,-1,-1,1,16,555,South,East
5,8,1,1,1,1,4,0,0,1,0,0,1,1,4,7,5,1,7,1,-1,2,-1,-1,1,14,553,East,South
15,17,1,1,0,0,4,0,1,1,0,0,1,3,5,17,5,1,7,1,28,10,-1,-1,166,1,5428,West,West
18,17,1,1,0,0,4,0,1,1,0,0,1,3,5,17,5,1,7,1,31,13,-1,-1,169,1,5131,West,West
9,6,1,1,1,1,4,0,0,0,1,0,1,1,3,1,13,6,7,1,-1,-1,4,-1,1,12,569,East,East
16,6,1,1,1,1,4,0,1,1,0,0,5,4,4,8,16,6,7,1,13,14,-1,-1,1,5,374,South,South
13,12,0,0,1,1,4,0,1,1,0,0,1,3,5,17,5,1,7,1,21,13,-1,-1,159,1,6121,South,South
13,11,1,1,1,1,4,0,1,1,1,1,2,6,5,11,13,7,14,12,16,8,4,2,1,7,-4,North,North
13,10,1,1,0,1,4,0,1,1,1,1,5,6,5,12,13,6,13,12,12,10,4,2,0,-1,-3,East,East
13,13,0,0,1,1,4,0,1,1,0,0,1,3,5,17,5,1,7,1,22,12,-1,-1,160,1,6022,South,South
11,15,0,0,1,1,4,0,1,1,0,0,1,3,5,17,5,1,7,1,22,8,-1,-1,152,1,6814,North,North
29,5,0,0,1,1,4,0,0,1,1,0,1,1,4,17,22,17,7,1,-1,37,19,-1,170,3,5036,North,North
11,5,1,1,1,1,4,0,1,1,0,0,7,5,5,7,5,1,7,1,4,8,-1,-1,1,11,368,West,West
1,8,0,0,1,1,4,0,1,1,1,1,3,6,9,3,17,5,24,14,4,13,19,29,0,-1,-13,South,South
11,5,1,1,1,1,4,0,1,1,0,1,5,6,5,12,5,1,13,12,7,13,-1,9,0,-1,188,South,South
18,7,1,0,0,1,4,0,0,1,0,0,1,2,9,4,3,1,8,1,22,12,-1,-1,52,2,2170,North,North
5,3,1,1,0,0,4,0,0,1,1,1,5,3,11,17,21,17,26,3,-1,20,30,21,197,1,2176,East,East
22,16,1,1,0,1,4,0,0,0,0,1,1,1,3,1,5,1,25,13,-1,-1,-1,6,0,-1,514,East,East
10,4,1,1,1,1,4,0,0,1,1,1,1,1,11,3,17,6,25,13,-1,2,9,24,0,-1,160,South,South
9,5,1,1,1,1,4,0,1,1,0,0,7,5,4,8,5,1,7,1,2,8,-1,-1,1,13,366,West,West
24,7,1,1,0,0,4,0,1,1,1,0,1,3,5,17,22,17,7,1,27,29,12,-1,195,2,2361,West,West
